"league_id","pixel_prod_num","center_number","name","start_date","end_date","lineage_cost","centaman_league_number","day_of_week","cover","gl_account"
"2804FB59-2ED4-4DED-B420-790883B7FDEB","","291","5702-Vegas League 2018-2019","08/26/2018 0:00","05/05/2019 0:00","10","5702","7","3","4115"
"284EA998-20F7-4216-9CF7-2DD18E3E26B9","","206","5103-Lake Waldena 2018-19","10/22/2018 0:00","04/15/2019 0:00","10.5","5103","1","3","4130"
"290059D3-B8D6-418A-845B-F067B43D92ED","","512","5304-Superstars 2018-2019","09/26/2018 0:00","10/31/2018 0:00","6.25","5304","3","2","4115"
"29433DB5-7809-45FE-99A5-7A8C82E41855","","340","9600-Emoji Bowling Club","10/27/2018 0:00","02/09/2019 0:00","20","9600","6","3","4125"
"2A00B9C8-55A0-4036-A62E-6CDACF563094","","430","7622-ABT Nov. 2018","10/20/2018 0:00","11/18/2018 0:00","2.45","9997622","8","1","4140"
"2AB9CA89-7B80-4A44-B7F3-6005F2A68CD2","","852","5113-Monroe High School GMC","10/29/2018 0:00","04/12/2019 0:00","3.2","5113","1","1","4125"
"2AB9CA89-7B80-4A44-B7F3-6005F2A68CD2","","852","5113-Monroe High School GMC","10/29/2018 0:00","04/12/2019 0:00","3.2","5113","2","1","4125"
"2AB9CA89-7B80-4A44-B7F3-6005F2A68CD2","","852","5113-Monroe High School GMC","10/29/2018 0:00","04/12/2019 0:00","3.2","5113","3","1","4125"
"2AB9CA89-7B80-4A44-B7F3-6005F2A68CD2","","852","5113-Monroe High School GMC","10/29/2018 0:00","04/12/2019 0:00","3.2","5113","4","1","4125"
"2AB9CA89-7B80-4A44-B7F3-6005F2A68CD2","","852","5113-Monroe High School GMC","10/29/2018 0:00","04/12/2019 0:00","3.2","5113","5","1","4125"
"2B5493F8-E49C-41E3-9DD2-A23E89DD8689","","855","7746-SJ USBC Youth No Tap Tour","10/21/2018 0:00","11/25/2018 0:00","9","9997746","8","3","4140"
"2BE2B093-D0D1-41E1-9EBA-D0FB7A7F6305","","291","5300-Annunciation 2018-2019","08/22/2018 0:00","04/17/2019 0:00","10.5","5300","3","3","4115"
"2C031D6B-54A4-4FEA-A016-0165295367B3","","312","5239-Tropical Breeze","10/30/2018 0:00","04/16/2019 0:00","9.5","5239","2","3","4130"
"2C4C086B-8666-4CFF-8468-369C472F68BF","","384","5401-Citrus Gardens","11/01/2018 0:00","03/28/2019 0:00","8.2","5401","4","3","4130"
"2C776CC2-A1CD-40EF-8523-CECCFD8BCD51","","608","7617-Silver Fox Nov 18","10/27/2018 0:00","12/01/2018 0:00","12","9997617","8","3","4140"
"2CA744FB-FF44-4D04-8063-60010CBA6E6E","","833","5404-MA BELL","08/23/2018 0:00","05/09/2019 0:00","12.55","5404","4","3","4115"
"2CDC1A15-9DB3-4A04-91DD-0A46B62985D1","","873","5601-Bantam Buddies","08/25/2018 0:00","01/05/2019 0:00","5.65","5601","6","2","4125"
